gender,property_offense,drug_offense,violent_offense,times_arrested,cat,value
Female,2.4787568067343053,1.8586913320179308,1.3912486162326259,10.828983343065307,rest_less,5.0
Female,1.9649863474394238,1.9613650926685204,1.4362883703917284,8.114012687171467,rest_less,4.0
Female,2.1494816148065796,2.051406385240683,1.3188465880235307,8.36084680220003,rest_less,3.0
Female,1.7443567682250474,1.7156721393587702,1.183607685097102,6.530183954640815,rest_less,2.0
Female,1.734132928552001,2.031779023064063,1.3204499163331251,6.3030374724105505,rest_less,1.0
Male,2.4871439674255633,2.530910719945448,1.8238718069775661,11.261171877048278,rest_less,5.0
Male,2.6569411817535453,2.359512429497118,1.62674507308236,10.426477329007247,rest_less,4.0
Male,2.876620784792894,2.1555632819359922,1.709561842527382,9.531720939702133,rest_less,3.0
Male,2.1660679294507745,2.1015694097051827,1.654348432689115,8.412507985544023,rest_less,2.0
Male,2.168410453210951,1.937783660333485,1.5850737087042566,7.693491684787827,rest_less,1.0
Female,1.67589362544464,1.8159174618923013,1.3835684374821369,9.058118596285205,hopeless,5.0
Female,2.167799144185162,1.8198641115487673,1.2376985294973941,7.985060641353707,hopeless,4.0
Female,2.155160650416036,1.9099852639918695,1.4003104028187416,8.862793392161235,hopeless,3.0
Female,1.9987951137007953,2.234111055421417,1.3216670933809511,7.341879793019197,hopeless,2.0
Female,1.8991099160699263,1.8521406440068249,1.3008267540465064,7.338103998032168,hopeless,1.0
Male,2.2202589368343237,2.495322205874099,1.7520947665098454,10.615115077220718,hopeless,5.0
Male,2.7465375715211793,2.7259091325569633,1.7334816578208523,9.857394780896632,hopeless,4.0
Male,2.581188799548098,2.1376902310175603,1.6173509403591038,9.514944555924558,hopeless,3.0
Male,2.3249855044205376,2.081409618243128,1.6181320307194131,8.779963883757658,hopeless,2.0
Male,2.437293810348815,2.0574865021758737,1.665724297365817,8.665476020027125,hopeless,1.0
Female,2.0012635001759804,1.9364179228153138,1.269163090032666,8.75633789481155,nervous,5.0
Female,2.2546758897642403,2.2536601614442193,1.332394137234284,8.449377059468597,nervous,4.0
Female,2.0007012693535327,1.9195473357051662,1.3345764956706854,7.362118514269371,nervous,3.0
Female,1.767192831450208,1.8890229339177727,1.239317525722156,7.178925958043834,nervous,2.0
Female,1.9836856173405493,1.8087661991559074,1.4018371383129782,7.984847891106592,nervous,1.0
Male,2.804336553837049,2.3031155323454198,1.7935205906522729,10.166476711843078,nervous,5.0
Male,2.4970400086208095,2.3776130462324288,1.7186917510017137,9.59313220961783,nervous,4.0
Male,2.9885927028334898,2.231731607933521,1.5721372700303682,9.496659008230896,nervous,3.0
Male,2.2586062004488143,2.048027144158292,1.7176509899112562,9.04322963844589,nervous,2.0
Male,2.192339865254234,2.0557305872719103,1.6413412124819737,8.400886882430179,nervous,1.0
