group,conditional_cat,demo_cat,property_offense,drug_offense,violent_offense,times_arrested,demo_var,conditional_var
Female,0.0,1,1.4299497237998342,1.235606366552202,1.0247452196757905,4.710262564781129,age,mental_illness
Female,0.0,2,1.4879015097147268,2.0433811037332954,1.3613256021741662,5.5955931325905786,age,mental_illness
Female,0.0,3,1.7785377135662217,1.5419870573447585,1.063674340247832,5.347614398737718,age,mental_illness
Female,0.0,4,1.692221193706569,1.6824359239270164,1.269727324729006,5.461370440107476,age,mental_illness
Female,0.0,5,1.5281881123033123,1.4443398421345743,1.5955021339382913,3.2316656779272,age,mental_illness
Female,0.0,6,1.1367967074958885,1.51252464195773,1.0452680197149333,3.0728800767693367,age,mental_illness
Female,1.0,1,1.3203803636877334,1.6530298084111974,1.1573855300959297,6.78561613647988,age,mental_illness
Female,1.0,2,1.6852765882691894,1.7556967260106313,1.2663052617334958,6.822182774331121,age,mental_illness
Female,1.0,3,1.9616514286243487,1.9039653312888578,1.178125271089443,7.222266684816417,age,mental_illness
Female,1.0,4,1.4573520020828494,1.9174587087731532,1.1158392842076024,6.46261046338838,age,mental_illness
Female,1.0,5,1.818935695518624,1.7667677386480367,1.1336679403871177,3.8298933922134784,age,mental_illness
Female,1.0,6,0.7869631515622635,1.0,1.0,2.2304557417720368,age,mental_illness
Female,2.0,1,1.2769685165774498,1.9023290318337804,1.2814087175423572,5.755544911773133,age,mental_illness
Female,2.0,2,2.0889281665240085,1.9187433362037905,1.4768200824490756,8.429078513775012,age,mental_illness
Female,2.0,3,2.305334518569863,2.239272053867931,1.3384055974670628,11.043960279036686,age,mental_illness
Female,2.0,4,3.2872056756095547,2.295219154540659,1.4617059251550084,13.132515207385016,age,mental_illness
Female,2.0,5,2.609890734550535,2.828447933720464,1.485231710838103,15.069231235711124,age,mental_illness
Female,2.0,6,7.688829783339359,1.0,1.0261094199536498,8.568820118285682,age,mental_illness
Male,0.0,1,1.9626122727690603,1.5375740247061784,1.4668058522289897,5.233200430949426,age,mental_illness
Male,0.0,2,1.805626474757097,1.7803353170733127,1.4434163978211378,7.097471584860578,age,mental_illness
